ranking,nom,nomEquip,Valoracio
1,Diego Simeone,Atlético,53
2,José Bordalás,Getafe,52
3,José Luis Mendilibar,Eibar,51
4,Eusebio Sacristán,Girona,49
5,Mauricio Pellegrino,Leganés,48
6,Sergio González,Valladolid,47
7,Pablo Machín,Sevilla,47
8,Abelardo Fernández,Alavés,47
9,Paco López,Levante,46
10,Ernesto Valverde,Barcelona,46
11,Marcelino Gª Toral,Valencia,43
12,Quique Setién,Betis,42
13,"Joan Ferrer, Rubi",Espanyol,41
14,Míchel Sánchez,Rayo Vallecano,37
15,Francisco,Huesca,36
16,Javi Calleja,Villarreal,35
17,Solari,R. Madrid,23
18,Asier Garitano,R. Sociedad,23
19,Gaizka Garitano,Athletic,22
20,Antonio Mohamed,Celta,21
21,Imanol Alguacil,R. Sociedad,19
22,Julen Lopetegui,R. Madrid,14
23,Eduardo Berizzo,Athletic,14
24,Leo Franco,Huesca,11
25,Miguel Cardoso,Celta,11
26,Fran Escribá,Celta,7
27,Luis García,Villarreal,6
28,Joaquín Caparrós,Sevilla,5
29,Zinedine Zidane,R. Madrid,4
30,Paco Jémez,Rayo Vallecano,3
