ranking,nom,nomEquip,golsTotals,GolsPeu,GolsCap,GolsPenal,GolsFalta
1,Messi,Barcelona,32,22,0,4,6
2,Luis Suárez,Barcelona,19,15,1,3,0
3,Stuani,Girona,17,7,6,4,0
4,Ben Yedder,Sevilla,16,12,2,2,0
5,Benzema,R. Madrid,15,8,4,3,0
6,Iago Aspas,Celta,13,8,2,1,2
7,Charles,Eibar,13,4,3,6,0
8,Mata,Getafe,13,10,0,3,0
9,Griezmann,Atlético,13,8,0,3,2
10,Raúl de Tomás,Rayo Vallecano,12,10,1,0,1
11,Borja Iglesias,Espanyol,12,9,2,1,0
12,Oyarzabal,R. Sociedad,12,7,2,3,0
13,Roger,Levante,11,8,1,2,0
14,Sarabia,Sevilla,11,8,2,1,0
15,Maxi Gómez,Celta,10,5,4,1,0
16,Molina,Getafe,10,10,0,0,0
17,Williams,Athletic,10,9,1,0,0
18,Willian Jose,R. Sociedad,9,4,2,3,0
19,Andre Silva,Sevilla,9,8,1,0,0
20,Morales,Levante,9,8,0,1,0
21,Bale,R. Madrid,8,7,0,1,0
22,Dembele,Barcelona,8,8,0,0,0
23,En-Nesyri,Leganés,8,6,2,0,0
24,Parejo,Valencia,8,3,0,4,1
25,Toko Ekambi,Villarreal,8,8,0,0,0
26,Ávila,Huesca,7,6,0,1,0
27,Sergi Enrich,Eibar,7,5,2,0,0
28,Canales,Betis,7,4,0,2,1
29,Muniain,Athletic,7,6,0,1,0
30,Carrillo,Leganés,6,3,2,1,0
31,Portu,Girona,6,4,1,1,0
32,Raúl García,Athletic,6,3,2,1,0
33,Brais Méndez,Celta,6,5,0,1,0
34,Calleri,Alavés,6,1,4,1,0
35,Sergio Ramos,R. Madrid,6,0,1,5,0
36,Ángel,Getafe,6,6,0,0,0
37,Bacca,Villarreal,5,1,2,1,1
38,Lo Celso,Betis,5,4,0,1,0
39,Loren,Betis,5,5,0,0,0
40,Gerard,Villarreal,5,4,1,0,0
41,Rodrigo,Valencia,5,4,1,0,0
42,Coutinho,Barcelona,5,5,0,0,0
43,Chukwueze,Villarreal,4,4,0,0,0
44,Borja Bastón,Alavés,4,3,1,0,0
45,Escalante,Eibar,4,3,1,0,0
46,Gameiro,Valencia,4,4,0,0,0
47,Saúl,Atlético,4,4,0,0,0
48,Cucho Hernández,Huesca,4,2,0,2,0
49,Jony,Alavés,4,2,0,0,2
50,Piqué,Barcelona,4,1,3,0,0
