ranking,nom,nomEquip,Coeficient,GolsRebuts,PartitsJugats
1,Oblak,Atlético,"0,63",19,30
2,Neto,Valencia,"0,86",24,28
3,David Soria,Getafe,"0,90",26,29
4,Ter Stegen,Barcelona,"1,03",31,30
5,Cuéllar,Leganés,"1,18",33,28
6,Fernando Pacheco,Alavés,"1,21",34,28
7,Pau López,Betis,"1,32",37,28
8,Masip,Valladolid,"1,37",41,30
9,Asenjo,Villarreal,"1,43",43,30
10,Diego López,Espanyol,"1,47",44,30
11,Vaclik,Sevilla,"1,31",34,26
12,Bono,Girona,"1,32",33,25
13,Courtois,R. Madrid,"1,25",30,24
14,Iago Herrerín,Athletic,"0,91",21,23
15,Oier,Levante,"1,90",40,21
16,Rulli,R. Sociedad,"1,26",24,19
17,Dimitrievski,Rayo Vallecano,"1,63",31,19
18,Rubén,Celta,"1,76",30,17
19,Dmitrovic,Eibar,"1,31",21,16
20,Riesgo,Eibar,"1,43",20,14
21,Santamaría,Huesca,"1,50",21,14
22,Sergio,Celta,"1,69",22,13
23,Moyá,R. Sociedad,1,11,11
24,Alberto García,Rayo Vallecano,"2,09",23,11
25,Jovanovic,Huesca,"1,60",16,10
26,Aitor Fernández,Levante,"1,56",14,9
27,Unai Simón,Athletic,"1,86",13,7
28,Werner,Huesca,"2,67",16,6
29,Navas,R. Madrid,"0,80",4,5
30,Iraizoz,Girona,"1,60",8,5
31,Juan Soriano,Sevilla,"0,67",2,3
32,Jaume,Valencia,0,0,2
33,Lunin,Leganés,"0,50",1,2
34,Joel,Betis,1,2,2
35,Sivera,Alavés,"1,50",3,2
36,Chichizola,Getafe,1,1,1
37,Javier Díaz,Sevilla,1,1,1
38,Luca,R. Madrid,2,2,1
